T(K)	FeO	Fe2O3	Na2O	MgO	Al2O3	SiO2	K2O	CaO	TiO2	Cr2O3	MnO	P2O5	Na-Mg	Na-Al	Na-Si	Na-K	Na-Ca	Na-Ti	Mg-Al	Mg-Si	Mg-K	Mg-Ca	Mg-Ti	Al-Si	Al-K	Al-Ca	Al-Ti	Si-K	Si-Ca	Si-Ti	K-Ca	K-Ti	Ca-Ti	LNGAMMA
1473	0.086142831	0.004759432	0.055254041	0.146896619	0.105698633	0.487061204	0.006656221	0.095990932	0.00991639	0	0.001623696	0	0.071547644	0.051481703	0.237228617	0.003241987	0.046753459	0.004829889	0.000703553	0.003241987	4.43E-05	0.000638937	6.60E-05	0.046753459	0.000638937	0.009214259	0.000951884	6.60E-05	0.000951884	9.83E-05	0	0	1.61E-05	2.434044088
1473	0.085194103	0.00551301	0.05405533	0.144728018	0.105337242	0.486733422	0.007230278	0.099670813	0.010547711	0	0.000990074	0	0.070443963	0.051271156	0.236909424	0.003519218	0.048513116	0.005133923	0.000761618	0.003519218	5.23E-05	0.000720648	7.63E-05	0.048513116	0.000720648	0.009934271	0.001051299	7.63E-05	0.001051299	0.000111254	0	0	1.04E-05	2.251722531
1473	0.084269042	0.003757081	0.05970379	0.147560985	0.103852159	0.484378475	0.006138554	0.097446737	0.011629969	0	0.001263209	0	0.071475365	0.05030375	0.234622507	0.002973383	0.047201102	0.005633307	0.000637502	0.002973383	3.77E-05	0.000598182	7.14E-05	0.047201102	0.000598182	0.009495867	0.001133303	7.14E-05	0.001133303	0.000135256	0	0	1.47E-05	2.675206145
1473	0.084240136	0.00444891	0.057204977	0.145119082	0.105894721	0.487252638	0.006944636	0.098359094	0.010535806	0	0	0	0.070709656	0.051597482	0.237415133	0.003383792	0.047925728	0.005133599	0.0007354	0.003383792	4.82E-05	0.000683068	7.32E-05	0.047925728	0.000683068	0.009674511	0.001036292	7.32E-05	0.001036292	0.000111003	0	0	0	2.485337383
1632	0.085677998	0.007410345	0.050145149	0.14541983	0.103209233	0.488315666	0.006528403	0.101699274	0.010246062	0	0.00134804	0	0.071010781	0.050398685	0.238452189	0.003187922	0.049661349	0.005003313	0.000673791	0.003187922	4.26E-05	0.000663934	6.69E-05	0.049661349	0.000663934	0.010342742	0.001042017	6.69E-05	0.001042017	0.000104982	0	0	1.38E-05	1.046227094
1628	0.085348227	0.007679577	0.051553172	0.146577372	0.103134061	0.487139693	0.006392109	0.09991959	0.010990142	0	0.001266059	0	0.071403656	0.050240695	0.23730508	0.00311385	0.048674798	0.005353734	0.000659244	0.00311385	4.09E-05	0.000638697	7.03E-05	0.048674798	0.000638697	0.009983924	0.00109813	7.03E-05	0.00109813	0.000120783	0	0	1.39E-05	1.018749279
1638	0.082851972	0.004346535	0.057563685	0.14556102	0.104574286	0.488539816	0.007125918	0.09854575	0.009622343	0	0.001268676	0	0.071112354	0.051088703	0.238671152	0.003481294	0.048143523	0.004700898	0.000745188	0.003481294	5.08E-05	0.000702229	6.86E-05	0.048143523	0.000702229	0.009711265	0.000948241	6.86E-05	0.000948241	9.26E-05	0	0	1.22E-05	1.598302754
1475	0.076856881	0.007069576	0.057384018	0.130094379	0.104219113	0.478109873	0.038530353	0.094691845	0.011044585	0	0.001999377	0	0.062199407	0.049828187	0.228589051	0.018421742	0.045273106	0.005280525	0.004015599	0.018421742	0.001484588	0.00364851	0.000425552	0.045273106	0.00364851	0.008966545	0.001045832	0.000425552	0.001045832	0.000121983	0	0	2.21E-05	1.813756724
1476	0.080722904	0.008359332	0.057555287	0.124936827	0.104812199	0.475390308	0.038600973	0.098324697	0.010083894	0	0.001213577	0	0.059393757	0.049826704	0.225995945	0.018350529	0.046742608	0.004793785	0.004045853	0.018350529	0.001490035	0.003795429	0.000389248	0.046742608	0.003795429	0.009667746	0.000991496	0.000389248	0.000991496	0.000101685	0	0	1.22E-05	1.655972863
1476	0.082112588	0.007990628	0.054714494	0.135244544	0.105099049	0.470726175	0.036455879	0.096708107	0.010385521	0	0.000563015	0	0.063663147	0.049472873	0.221583132	0.017160737	0.045523038	0.004888736	0.003831478	0.017160737	0.001329031	0.003525579	0.000378613	0.045523038	0.003525579	0.009352458	0.001004364	0.000378613	0.001004364	0.000107859	0	0	5.85E-06	1.728515571
1476	0.081673599	0.008171834	0.056896411	0.121964054	0.104767057	0.47610175	0.038299835	0.099837036	0.010925474	0	0.00136295	0	0.058067299	0.049879779	0.226672876	0.018234618	0.047532588	0.005201637	0.004012561	0.018234618	0.001466877	0.003823742	0.000418444	0.047532588	0.003823742	0.009967434	0.001090767	0.000418444	0.001090767	0.000119366	0	0	1.49E-05	1.700424626
1476	0.082834627	0.008709917	0.051103135	0.130091189	0.104268741	0.476761534	0.039299089	0.095293403	0.009628714	0	0.002009651	0	0.062022475	0.049711325	0.22730156	0.018736294	0.045432229	0.004590601	0.004097667	0.018736294	0.001544418	0.003744944	0.0003784	0.045432229	0.003744944	0.009080833	0.000917553	0.0003784	0.000917553	9.27E-05	0	0	1.94E-05	1.63610466
1476	0.093800603	0.009738595	0.064153753	0.130374028	0.088514421	0.439083041	0.045784137	0.115597865	0.011961908	0	0.000991649	0	0.057245025	0.038865181	0.192793917	0.020103038	0.050757062	0.005252271	0.004052556	0.020103038	0.002096187	0.005292548	0.000547666	0.050757062	0.005292548	0.013362866	0.001382771	0.000547666	0.001382771	0.000143087	0	0	1.19E-05	1.652633962
1476	0.093162543	0.010160853	0.048227078	0.139139946	0.089166504	0.445220174	0.050019417	0.111419114	0.011563762	0	0.001920609	0	0.061947911	0.039698726	0.198221004	0.022269654	0.049606037	0.00514842	0.004460057	0.022269654	0.002501942	0.005573119	0.000578413	0.049606037	0.005573119	0.012414219	0.001288424	0.000578413	0.001288424	0.000133721	0	0	2.22E-05	1.588095441
1469	0.09201465	0.007492838	0.056596946	0.136228186	0.088173824	0.443884915	0.046384452	0.115122648	0.012754656	0	0.001346886	0	0.060469637	0.03913903	0.197033817	0.020589359	0.051101207	0.005661599	0.004089895	0.020589359	0.002151517	0.005339901	0.000591618	0.051101207	0.005339901	0.013253224	0.00146835	0.000591618	0.00146835	0.000162681	0	0	1.72E-05	1.998315277
1636	0.082009852	0.007590193	0.051281942	0.142456709	0.100735999	0.472912281	0.036254889	0.09595275	0.00995052	0	0.000854864	0	0.067369527	0.047639291	0.223646025	0.017145382	0.045377234	0.004705723	0.003652172	0.017145382	0.001314417	0.003478756	0.000360755	0.045377234	0.003478756	0.00920693	0.00095478	0.000360755	0.00095478	9.90E-05	0	0	8.51E-06	0.940050971
1632	0.081764642	0.007047855	0.046745437	0.144046699	0.10177456	0.473884283	0.03636929	0.096625337	0.01117273	0	0.000569167	0	0.068261467	0.048229365	0.224566313	0.017234835	0.045789228	0.005294581	0.003701468	0.017234835	0.001322725	0.003514195	0.000406344	0.045789228	0.003514195	0.009336456	0.001079569	0.000406344	0.001079569	0.00012483	0	0	6.36E-06	1.050437626
1636	0.078409173	0.007077764	0.034615548	0.144275703	0.102321466	0.479900781	0.049088312	0.093742126	0.009123907	0	0.001445221	0	0.069238023	0.049104151	0.230304759	0.023557519	0.04498692	0.00437857	0.005022788	0.023557519	0.002409662	0.004601643	0.000447877	0.04498692	0.004601643	0.008787586	0.000855294	0.000447877	0.000855294	8.32E-05	0	0	1.32E-05	0.971426093
1632	0.080480316	0.008355652	0.037512063	0.144126224	0.100057089	0.471595048	0.050861755	0.095800223	0.010070909	0	0.00114072	0	0.067969214	0.047186428	0.22240189	0.023986152	0.045178911	0.004749391	0.005089079	0.023986152	0.002586918	0.004872567	0.000512224	0.045178911	0.004872567	0.009177683	0.000964795	0.000512224	0.000964795	0.000101423	0	0	1.15E-05	0.814715293
1639	0.081968298	0.00820132	0.047450008	0.141373953	0.098028486	0.45683817	0.062347218	0.092162744	0.010047309	0	0.001582495	0	0.064585018	0.044783154	0.208701113	0.028482589	0.042103459	0.004589994	0.006111803	0.028482589	0.003887176	0.005746091	0.000626422	0.042103459	0.005746091	0.008493971	0.000925988	0.000626422	0.000925988	0.000100948	0	0	1.59E-05	0.829734419
1473	0.077917879	0.00235444	0.072853936	0.143763444	0.104158862	0.484995931	0.006911081	0.096091926	0.01004343	0	0.00090907	0	0.069724686	0.050516624	0.235221053	0.003351846	0.046604193	0.004871023	0.00071985	0.003351846	4.78E-05	0.000664099	6.94E-05	0.046604193	0.000664099	0.009233658	0.000965093	6.94E-05	0.000965093	0.00010087	0	0	9.13E-06	3.099020392
1475	0.079199778	0.004457861	0.099589794	0.140150932	0.101010618	0.464770839	0.006643018	0.094317684	0.00944669	0	0.000412786	0	0.065138066	0.04694679	0.216011932	0.003087481	0.043836109	0.004390546	0.000671015	0.003087481	4.41E-05	0.000626554	6.28E-05	0.043836109	0.000626554	0.008895826	0.00089099	6.28E-05	0.00089099	8.92E-05	0	0	3.90E-06	2.399988179
1470	0.079153537	0.004885363	0.100706487	0.140593863	0.099271725	0.464970153	0.005462913	0.093302855	0.009866918	0	0.001786187	0	0.06537195	0.046158389	0.216197243	0.002540091	0.043383043	0.004587823	0.000542313	0.002540091	2.98E-05	0.000509705	5.39E-05	0.043383043	0.000509705	0.008705423	0.000920612	5.39E-05	0.000920612	9.74E-05	0	0	1.76E-05	2.31861538
1472	0.077619839	0.003713662	0.105569263	0.139363722	0.099551312	0.463610267	0.006656675	0.093186657	0.009901335	0	0.000827269	0	0.064610452	0.04615301	0.214934479	0.003086103	0.043202291	0.00459036	0.000662681	0.003086103	4.43E-05	0.000620313	6.59E-05	0.043202291	0.000620313	0.008683753	0.000922672	6.59E-05	0.000922672	9.80E-05	0	0	8.19E-06	2.593000364
1473	0.083834224	0.006826699	0.099844601	0.134275354	0.099777157	0.460105845	0.006519266	0.096507463	0.010769696	0	0.001539695	0	0.061780875	0.045908053	0.211697388	0.002999553	0.044403648	0.0049552	0.000650474	0.002999553	4.25E-05	0.000629158	7.02E-05	0.044403648	0.000629158	0.00931369	0.001039356	7.02E-05	0.001039356	0.000115986	0	0	1.66E-05	1.977523809
1479	0.077094579	0.007003354	0.13425158	0.136547586	0.095092226	0.446039352	0.005969651	0.089063748	0.008871406	0	6.65E-05	0	0.060905597	0.042414875	0.198951104	0.002662699	0.039725936	0.003956996	0.000567667	0.002662699	3.56E-05	0.000531679	5.30E-05	0.039725936	0.000531679	0.007932351	0.000790121	5.30E-05	0.000790121	7.87E-05	0	0	5.90E-07	1.801319646
1473	0.076433843	0.005319427	0.138408422	0.139990157	0.094478396	0.440952751	0.00583226	0.087351888	0.009365912	0	0.001866945	0	0.061729045	0.041660509	0.194439329	0.002571751	0.038518055	0.004129925	0.000551023	0.002571751	3.40E-05	0.000509459	5.46E-05	0.038518055	0.000509459	0.007630352	0.00081813	5.46E-05	0.00081813	8.77E-05	0	0	1.75E-05	2.661200358
1473	0.074079395	0.006054691	0.147284983	0.135054916	0.093923704	0.440167491	0.006316487	0.087356739	0.00929823	0	0.000463363	0	0.059446784	0.041342161	0.193747421	0.002780312	0.038451597	0.004092779	0.000593268	0.002780312	3.99E-05	0.000551788	5.87E-05	0.038451597	0.000551788	0.0076312	0.000812263	5.87E-05	0.000812263	8.65E-05	0	0	4.31E-06	1.973009129
